"filename", "language", "C++", "Python", "Shell Script", "Markdown", "comment", "blank", "total"
"d:\OI\Code\Comp\23-07-14 LG\B.cpp", "C++", 37, 0, 0, 0, 0, 12, 49
"d:\OI\Code\Comp\23-07-14 LG\C.cpp", "C++", 50, 0, 0, 0, 0, 11, 61
"d:\OI\Code\Comp\23-07-14 LG\C_1.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\23-07-14 LG\D.cpp", "C++", 17, 0, 0, 0, 0, 8, 25
"d:\OI\Code\Comp\23-07-14 LG\E.cpp", "C++", 66, 0, 0, 0, 1, 14, 81
"d:\OI\Code\Comp\23-07-14 LG\F.cpp", "C++", 66, 0, 0, 0, 1, 14, 81
"d:\OI\Code\Comp\23-07-15 ABC\A.cpp", "C++", 28, 0, 0, 0, 0, 12, 40
"d:\OI\Code\Comp\23-07-15 ABC\B.cpp", "C++", 56, 0, 0, 0, 0, 14, 70
"d:\OI\Code\Comp\23-07-21 CF 886\A.cpp", "C++", 13, 0, 0, 0, 0, 8, 21
"d:\OI\Code\Comp\23-07-21 CF 886\B.cpp", "C++", 22, 0, 0, 0, 0, 8, 30
"d:\OI\Code\Comp\23-07-21 CF 886\C.cpp", "C++", 25, 0, 0, 0, 0, 10, 35
